ingredient_normalized;GHG Emissions (kg CO2eq);Water Use (L);food.group;Calories;Protein;Fat;Carbohydrates;Saturated.FA;Monounsaturated.FA;Polyunsaturated.FA
Rice;4.45;2248.4;Rice;364;6.655;0.535;80.415;0.1255;0.1805;0.168
Bread;1.57;647.5;Wheat & Rye (Bread);338.8;11.826;1.793;73.584;0.295;0.2241;0.7727
Maize;1.7;215.7;Maize (Meal);368.3333333;8.143333333;3.623333333;77.09;0.501666667;0.925333333;1.673666667
Beer;1.18;17.1;Barley (Beer);353;11.195;1.73;75.6;0.363;0.222;0.834
Oatmeal;2.48;482.4;Oatmeal;389;16.89;6.9;66.27;1.217;2.178;2.535
Cassava;1.32;0;Cassava;160;1.36;0.28;38.06;0.074;0.075;0.048
Beet Sugar;1.81;217.7;Beet Sugar;393;0;0;99.89;0;0;0
Onion;0.5;14.3;Onion;35.33333333;1.61;0.23;7.726666667;0.047;0.032;0.082333333
Leeks;0.5;14.3;Leeks;35.33333333;1.61;0.23;7.726666667;0.047;0.032;0.082333333
Cane;3.2;620.1;Cane Sugar;393;0;0;99.89;0;0;0
Peas;0.98;396.6;Peas;216.5;14.62;0.78;39.095;0.116;0.1385;0.341
Nuts;0.43;4133.8;Nuts;541.3235294;13.405;47.44029412;24.01235294;6.241764706;26.61302941;11.93282353
Berrie;1.53;419.6;Berries & Grapes;55.53846154;1.328461538;0.506153846;13.19769231;0.058916667;0.041583333;0.251416667
Tofu;3.16;148.6;Tofu;446;36.49;19.94;30.16;2.884;4.404;11.255
bean Oil;6.32;414.6;Soybean Oil;884;0;100;0;15.65;22.783;57.74
Palm Oil;7.32;6.4;Palm Oil;862;0;100;0;81.5;11.4;1.6
Sunflower Oil;3.6;1007.9;Sunflower Oil;884;0;100;0;10.1;45.4;40.1
Rapeseed Oil;3.77;237.7;Rapeseed Oil;884;0;100;0;9.4735;61.2315;24.686
Sunflower seeds;1.942857143;561.0857143;Sunflower seeds;584;20.78;51.46;20;4.455;18.528;23.137
Olive Oil;5.42;2141.8;Olive Oil;884;0;100;0;13.808;72.961;10.523
Tomato;2.09;369.8;Tomatoes;18;0.88;0.2;3.89;0.028;0.031;0.083
Grape;1.53;419.6;Berries & Grapes;55.53846154;1.328461538;0.506153846;13.19769231;0.058916667;0.041583333;0.251416667
Root;0.43;28.4;Root Vegetables;58.75;1.959375;0.44375;12.94625;0.19875;0.0555625;0.1345625
Lamb;39.72;1802.8;Lamb & Mutton;267;16.88;21.59;0;9.47;8.86;1.7
Citrus;0.39;82.7;Citrus Fruit;48.71428571;0.971428571;0.238571429;13.06142857;0.041333333;0.030166667;0.071333333
Banana;0.86;114.5;Bananas;89;1.09;0.33;22.84;0.112;0.032;0.073
Apple;0.43;180.1;Apples;52;0.26;0.17;13.81;0.028;0.007;0.051
Mutton;39.72;1802.8;Lamb & Mutton;267;16.88;21.59;0;9.47;8.86;1.7
Wine;1.79;78.9;Wine;83;0.07;0;2.72;0;0;0
Coffee;28.53;25.9;Coffee;16.565;1.9878;0.3313;0;0.03313;0.248475;0.016565
Milk Chocolate;23.4;1650.818182;Milk Chocolate;228;19.6;13.7;57.9;8.07;4.57;0.44
Dark Chocolate;46.65;540.6;Dark Chocolate;228;19.6;13.7;57.9;8.07;4.57;0.44
Beef;99.48;1451.2;Bovine Meat (beef herd);291;17.32;24.05;0;9.75;10.47;0.92
Pork;12.31;1795.8;Pig Meat;376;13.91;35.07;0;12.44;15.93;3.8
Egg;4.67;577.7;Eggs;143;12.56;9.51;0.72;3.126;3.658;1.911
Chicken;9.87;660;Poultry Meat;215;18.6;15.06;0;4.31;6.24;3.23
Milk;3.15;628.2;Milk;61;3.15;3.27;4.78;1.865;0.812;0.195
Butter;55.9698651;10.65;Butter; Cream & Ghee;531;1.45;59.055;0.0025;37.2;15.8535
Cheese;23.88;5605.2;Cheese;354.9655173;22.25517241;27.77137931;4.068620692;17.24427586;7.791034485;0.901
Fish;13.63;3691.3;Fish (farmed);123.7391304;18.9873913;4.735217391;0;1.072673913;1.842108696;1.201021739
Crustaceans;26.87;3515.4;Crustaceans (farmed);81.57142857;14.99285714;1.205;1.611428571;0.245571429;0.207071429;0.396142857
Potato;0.46;59.1;Potatoes;81.5;1.691666667;0.106666667;18.99666667;0.027333333;0.003;0.046666667
Animal Fats;11.09;1227.9;Animal Fats;902;0;100;0;39.2;45.1;11.2
Olives;0.9891;304.878;Olives;98;0.905;8.775;5.935;1.162;6.4795;0.7485
Tea;21;20;Tea;6.23125;0;0;1.869375;0.0124625;0.00623125;0.024925
