Ingrediente_Normalizado,Frecuencia
unknown,724428
milk,15859
onion,15113
tomato,13696
rapeseed oil,13254
butter,11656
potato,9492
cheese,9095
rice,8550
maize,7860
sunflower oil,7742
palm oil,5514
egg,5189
apple,4399
chicken,3478
pork,3302
wine,2863
olive oil,2509
beef,2475
milk chocolate,2159
nuts,2010
tea,1874
berrie,1684
peas,1641
root,1572
fish,1403
coffee,1228
dark chocolate,1163
cane,1130
grape,1071
bread,1055
animal fats,986
sunflower seeds,858
citrus,540
banana,441
olives,429
lamb,359
leeks,184
crustaceans,112
bean oil,107
tofu,99
oatmeal,90
mutton,39
beer,30
cassava,17
beet sugar,12
