ingredient_normalized,GHG Emissions (kg CO2eq),Huella,Water Use (L),food.group,Calories,Protein,Fat,Carbohydrates,Saturated.FA,Monounsaturated.FA,Polyunsaturated.FA
Animal Fats,11.09,4325,1227.9,Animal Fats,902,0,100,0,39.2,45.1,11.2
Apple,0.43,822,180.1,Apples,52,0.26,0.17,13.81,28,7,51
Banana,0.86,790,114.5,Bananas,89,1.09,0.33,22.84,112,32,73
bean Oil,6.32,4190,414.6,Soybean Oil,884,0,100,0,15.65,22783,57.74
Beef,99.48,15415,1451.2,Bovine Meat (beef herd),291,17.32,24.05,0,9.75,10.47,0.92
Beer,1.18,1423,17.1,Barley (Beer),353,11195,1.73,75.6,363,222,834
Beet Sugar,1.81,132,217.7,Beet Sugar,393,0,0,99.89,0,0,0
Berrie,1.53,481.4,419.6,Berries & Grapes,55.53846154,1.328461538,0.506153846,13.19769231,0.058916667,0.041583333,0.251416667
Bread,1.57,1827,647.5,Wheat & Rye (Bread),338.8,11826,1793,73584,295,0.2241,0.7727
Butter,55.9698651,5553,10.65,Butter,558535,1.45,59055,5.31,0.0025,37.2,15.8535
Cane,3.2,210,620.1,Cane Sugar,393,0,0,99.89,0,0,0
Cassava,1.32,1825,0,Cassava,160,1.36,0.28,38.06,74,75,48
Cheese,23.88,5060,5605.2,Cheese,354.9655173,22.25517241,27.77137931,4.068620692,17.24427586,7.791034485,901
Chicken,9.87,3363,660,Poultry Meat,215,18.6,15.06,0,4.31,6.24,3.23
Citrus,0.39,650,82.7,Citrus Fruit,48.71428571,0.971428571,0.238571429,13.06142857,0.041333333,0.030166667,0.071333333
Coffee,28.53,18925,25.9,Coffee,16565,1.9878,0.3313,0,0.03313,0.248475,0.016565
Crustaceans,26.87,3110,3515.4,Crustaceans (farmed),81.57142857,14.99285714,1205,1.611428571,0.245571429,0.207071429,0.396142857
Dark Chocolate,46.65,17196,540.6,Dark Chocolate,228,19.6,13.7,57.9,8.07,4.57,0.44
Egg,4.67,3265,577.7,Eggs,143,12.56,9.51,0.72,3126,3658,1911
Fish,13.63,3110,3691.3,Fish (farmed),123.7391304,18.9873913,4.735217391,0,1.072673913,1.842108696,1.201021739
Grape,1.53,608,419.6,Berries & Grapes,55.53846154,1.328461538,0.506153846,13.19769231,0.058916667,0.041583333,0.251416667
Lamb,39.72,8763,1802.8,Lamb & Mutton,267,16.88,21.59,0,9.47,8.86,1.7
Leeks,0.5,322,14.3,Leeks,35.33333333,1.61,0.23,7.726666667,47,32,0.082333333
Maize,1.7,1519,215.7,Maize (Meal),368.3333333,8.143333333,3.623333333,77.09,0.501666667,0.925333333,1.673666667
Milk,3.15,1020,628.2,Milk,61,3.15,3.27,4.78,1865,812,195
Milk Chocolate,23.4,17196,1650.818182,Milk Chocolate,228,19.6,13.7,57.9,8.07,4.57,0.44
Mutton,39.72,8763,1802.8,Lamb & Mutton,267,16.88,21.59,0,9.47,8.86,1.7
Nuts,0.43,9063,4133.8,Nuts,541.3235294,13405,47.44029412,24.01235294,6.241764706,26.61302941,11.93282353
Oatmeal,2.48,2246,482.4,Oatmeal,389,16.89,6.9,66.27,1217,2178,2535
Olive Oil,5.42,14431,2141.8,Olive Oil,884,0,100,0,13808,72961,10523
Olives,0.9891,3015,3048.78,Olives,98,905,8775,5935,1162,6.4795,0.7485
Onion,0.5,345,14.3,Onion,35.33333333,1.61,0.23,7.726666667,47,32,0.082333333
Palm Oil,7.32,4971,6.4,Palm Oil,862,0,100,0,81.5,11.4,1.6
Peas,0.98,1979,396.6,Peas,216.5,14.62,0.78,39095,116,0.1385,341
Pork,12.31,5988,1795.8,Pig Meat,376,13.91,35.07,0,12.44,15.93,3.8
Potato,0.46,1143,59.1,Potatoes,81.5,1.691666667,0.106666667,18.99666667,0.027333333,3,0.046666667
Rapeseed Oil,3.77,4300,237.7,Rapeseed Oil,884,0,100,0,9.4735,61.2315,24686
Rice,4.45,2240,2248.4,Rice,364,6655,535,80415,0.1255,0.1805,168
Root,0.43,387,28.4,Root Vegetables,58.75,1.959375,0.44375,12.94625,0.19875,0.0555625,0.1345625
Sunflower Oil,3.6,6792,1007.9,Sunflower Oil,884,0,100,0,10.1,45.4,40.1
Sunflower seeds,1.942857143,3366,561.0857143,Sunflower seeds,584,20.78,51.46,20,4455,18528,23137
Tea,21,8856,20,Tea,6.23125,0,0,1.869375,0.0124625,0.00623125,0.024925
Tofu,3.16,572,148.6,Tofu,446,36.49,19.94,30.16,2884,4404,11255
Tomato,2.09,214,369.8,Tomatoes,18,0.88,0.2,3.89,28,31,83
Wine,1.79,869,78.9,Wine,83,0.07,0,2.72,0,0,0
garlic,,589,,,,,,,,,
coconut,,2687,,,,,,,,,
ginger,,1657,,,,,,,,,
kiwi,,514,,,,,,,,,
sugar,,1782,,,,,,,,,
bean,,5053,,,,,,,,,
pear,,922,,,,,,,,,
spices,,7048,,,,,,,,,
pineapple,,255,,,,,,,,,
lettuce,,237,,,,,,,,,
chocolate,,22187.2,,,,,,,,,
mango,,1800,,,,,,,,,
melon,,235,,,,,,,,,
mushroom,,322,,,,,,,,,
avocado,,1981,,,,,,,,,
peach,,910,,,,,,,,,
parsley,,8280,,,,,,,,,
cabbage,,280,,,,,,,,,
vegetable oil,,8280,,,,,,,,,
spinach,,292,,,,,,,,,
mint,,288,,,,,,,,,
broccoli,,285,,,,,,,,,
quinoa,,1644,,,,,,,,,
chilli,,379,,,,,,,,,
garlic powder,,2265,,,,,,,,,
